first_name,last_name,company_name,address,city,county,postal,phone,email,salary
Evan,Zigomalas,Rowley/hansell Petetin,5 Binney St,Abbey Ward,Buckinghamshire,HP11 2AX,01937-864715,evan.zigomalas@gmail.com,80858
Eric,Rampy,"Crowan, Kenneth W Esq",9472 Lind St,Desborough,Northamptonshire,NN14 2GH,01969-886290,erampy@rampy.co.uk,59057
Niesha,Bruch,Weiss Spirt & Guyer,24 Bolton St,"Broxburn, Uphall and Winchburg",West Lothian,EH52 5TL,01874-856950,niesha.bruch@yahoo.com,79549
Michell,Throssell,Weiss Spirt & Guyer,89 Noon St,Carbrooke,Norfolk,IP25 6JQ,01967-580851,mthrossell@throssell.co.uk,85409
Edgar,Kanne,Rowley/hansell Petetin,99 Guthrie St,New Milton,Hampshire,BH25 5DF,01326-532337,edgar.kanne@yahoo.com,82586
Augustine,Growcock,Weiss Spirt & Guyer,114 Falkland St #8845,Brimpton,Berkshire,RG7 4RF,01541-802635,augustine.growcock@growcock.co.uk,61170
Reed,Weisinger,"Thompson, Michael C Esq",5147 Blackstone St,Letchworth South West Ward,Hertfordshire,SG6 3LE,01243-678286,reed_weisinger@yahoo.com,72101
Milly,Savidge,Weiss Spirt & Guyer,129 Alexander Pope St,Franche Ward,Hereford and Worcester,DY11 9BW,01702-725589,milly@gmail.com,69025
Luis,Ear,Cap Gemini America,2 Birchfield Rd,Whittington,Shropshire,SY11 4PH,01462-648669,luis@hotmail.com,85983
Margurite,Loperfido,Cap Gemini America,218 Greenbank Drive,Devizes,Wiltshire,SN10 3DU,01407-866759,mloperfido@gmail.com,77518
Vernice,Sperazza,Cap Gemini America,8921 Forge St,Colnbrook with Poyle,Buckinghamshire,SL3 0PY,01822-563044,vernice@yahoo.com,52794
Jenise,Dulle,"Crowan, Kenneth W Esq",87 Pownall Sq,Sawston,Cambridgeshire,CB22 3BB,01709-854691,jenise.dulle@hotmail.com,82292
Melina,Orizabal,"Thompson, Michael C Esq",3 Nevison St,Lymington and Pennington,Hampshire,SO41 1DL,01420-307327,melina@gmail.com,46941
Tina,Clapham,"Thompson, Michael C Esq",5662 William Moult St,Aylesbury,Buckinghamshire,HP21 8PP,01567-296442,tclapham@gmail.com,59545
Lyndia,Moonshower,"Thompson, Michael C Esq",43 Williamson St #7995,Meads Ward,East Sussex,BN20 7HB,01469-300335,lyndia_moonshower@moonshower.co.uk,64710
Jules,Hiltner,Weiss Spirt & Guyer,5 Howe St,"Broxburn, Uphall and Winchburg",West Lothian,EH52 6NF,01428-343825,jules@yahoo.com,76350
Chantay,Kamens,Rowley/hansell Petetin,763 Parkfield Rd,Norton Canes,Staffordshire,WS11 9RH,01823-383806,ckamens@hotmail.com,68070
