first_name,last_name,company_name,address,city,county,state,zip,phone,email,salary
Gail,Kitty,"Lynema, Cliff Cpa",735 Crawford Dr,Anchorage,Anchorage,AK,99501,907-435-9166,gail@kitty.com,163047
Penney,Weight,Weiss Spirt & Guyer,18 Fountain St,Anchorage,Anchorage,AK,99515,907-797-9628,penney_weight@aol.com,94176
Lenna,Paprocki,"Lynema, Cliff Cpa",639 Main St,Anchorage,Anchorage,AK,99501,907-385-4412,lpaprocki@hotmail.com,158895
Roxane,Campain,"Crowan, Kenneth W Esq",1048 Main St,Fairbanks,Fairbanks North Star,AK,99708,907-231-4722,roxane@hotmail.com,132310
Erick,Ferencz,Weiss Spirt & Guyer,20 S Babcock St,Fairbanks,Fairbanks North Star,AK,99712,907-741-1044,erick.ferencz@aol.com,125113
Wilda,Giguere,"Lynema, Cliff Cpa",1747 Calle Amanecer #2,Anchorage,Anchorage,AK,99501,907-870-5536,wilda@cox.net,78795
Carin,Deleo,Weiss Spirt & Guyer,1844 Southern Blvd,Little Rock,Pulaski,AR,72202,501-308-1040,cdeleo@deleo.com,168974
Herminia,Nicolozakes,"Lynema, Cliff Cpa",4 58th St #3519,Scottsdale,Maricopa,AZ,85254,602-954-5141,herminia@nicolozakes.org,75840
Christiane,Eschberger,"Berick, Joseph G Esq",96541 W Central Blvd,Phoenix,Maricopa,AZ,85034,602-390-4944,christiane.eschberger@yahoo.com,77043
Elke,Sengbusch,"Berick, Joseph G Esq",9 W Central Ave,Phoenix,Maricopa,AZ,85013,602-896-2993,elke_sengbusch@yahoo.com,100473
Arminda,Parvis,Weiss Spirt & Guyer,1 Huntwood Ave,Phoenix,Maricopa,AZ,85017,602-906-9419,arminda@parvis.com,116420
Iluminada,Ohms,Weiss Spirt & Guyer,72 Southern Blvd,Mesa,Maricopa,AZ,85204,480-293-2882,iluminada.ohms@yahoo.com,161238
Mattie,Poquette,Bridgeway Plan For Health,73 State Road 434 E,Phoenix,Maricopa,AZ,85013,602-277-4385,mattie@aol.com,94984
Helene,Rodenberger,"Berick, Joseph G Esq",347 Chestnut St,Peoria,Maricopa,AZ,85381,623-461-8551,helene@aol.com,129707
Keneth,Borgman,Weiss Spirt & Guyer,86350 Roszel Rd,Phoenix,Maricopa,AZ,85012,602-919-4211,keneth@yahoo.com,138242
Regenia,Kannady,"Crowan, Kenneth W Esq",10759 Main St,Scottsdale,Maricopa,AZ,85260,480-726-1280,regenia.kannady@cox.net,122476
